,Results.reception.time,MD5.hash.of.participant.s.IP.address,Controller.name,Order.number.of.item,Inner.element.number,Label,Latin.Square.Group,PennElementName,PennElementType,Parameter,Value,EventTime,Comments,Question..NULL.if.none..,Answer,Whether.or.not.answer.was.correct..NULL.if.N.A.,target_group,target_item,target_type,target_fem_sentence,target_choiceM,target_choiceF,target_adj,target_noun,Time.taken.to.answer.
90,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185478046,4 extra columns added for this controller,Ella necesita ___ key,la,1,1,5,A,Ella necesita la key,el,la,none,key,2866
96,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185484946,4 extra columns added for this controller,Él usó ___ new computer,el,0,1,16,B,Él usó la new computer,el,la,new,computer,3033
102,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185533257,4 extra columns added for this controller,Yo escogí ___ apple ___,la%2C fresca,1,1,26,D,Yo escogí la apple fresca,el%2C fresco,la%2C fresca,fresco/fresca,apple,39907
108,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185559625,4 extra columns added for this controller,Ellos abrieron ___ small window,la,1,1,4,B,Ellos abrieron la small window,el ,la,small,window,21843
114,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185604373,4 extra columns added for this controller,Seguimos ___ recipe,la,1,1,25,A,Seguimos la recipe,el,la,none,recipe,2921
120,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185614517,4 extra columns added for this controller,Comí ___ grape,la,1,1,9,A,Comí la grape,el,la,none,grape,4434
126,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185626486,4 extra columns added for this controller,Él cerró ___ door,la amarilla,1,1,3,C,Él cerró la amarilla door,el amarillo,la amarilla,amarillo/a,door,6311
132,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185657148,4 extra columns added for this controller,Tú doblaste ___ clean blanket,la,1,1,32,B,Tú doblaste la clean blanket,el,la,clean,blanket,26609
138,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185673766,4 extra columns added for this controller,Ella construyó ___ house ___,la%2C bonita,1,1,10,D,Ella construyó la house bonita,el%2C bonito,la%2C bonita,bonito/bonita,house,11861
144,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185701372,4 extra columns added for this controller,A ella le encanta ___ bag,la,1,1,17,A,A ella le encanta la bag,el,la,none,bag,14835
150,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185757281,4 extra columns added for this controller,Él cortó ___ strawberry,la madura,1,1,27,C,Él cortó la madura strawberry,el maduro,la madura,maduro/madura,strawberry,8303
156,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185775493,4 extra columns added for this controller,Él vendió __ guitar,la usada,1,1,15,C,Él vendió la usada guitar,el usado,la usada,usado/usada,guitar,8230
162,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185784307,4 extra columns added for this controller,Ella regó ___ healthy plant,el,0,1,28,B,Ella regó la healthy plant,el,la,healthy,plant,5512
168,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185801217,4 extra columns added for this controller,Ella se metió en ___ bathtub ___,el%2C vacío,0,1,30,D,Ella se metió en la bathtub vacía,el%2C vacío,la%2C vacía,vacío/vacía,bathtub,7161
174,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185836106,4 extra columns added for this controller,Miguel tiene ___ bike,la blanca,1,1,23,C,Miguel tiene la blanca bike,el blanco,la blanca,blanco/blanca,bicycle,28728
180,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185844061,4 extra columns added for this controller,Tallamos ___ pumpkin,la,1,1,13,A,Tallamos la pumpkin,el,la,none,pumpkin,4349
186,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185979237,4 extra columns added for this controller,Yo di ___ correct answer,la,1,1,20,B,Yo di la correct answer,el,la,correct,answer,6885
192,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701185999588,4 extra columns added for this controller,Ella hizo ___ cookie,la,1,1,21,A,Ella hizo la cookie,el,la,none,cookie,3211
198,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701186048732,4 extra columns added for this controller,Ellos miraron ___ star,la,1,1,29,A,Ellos miraron la star,el,la,none,star,34470
204,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701186062199,4 extra columns added for this controller,Él tomó ___ chair,la cómoda,1,1,19,C,Él tomó la cómoda chair,el cómodo,la cómoda,cómodo/cómoda,chair,8835
210,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701186076572,4 extra columns added for this controller,Dame ___ cup ___,el%2C lleno,0,1,22,D,Dame la cup llena,el%2C lleno,la%2C llena,lleno/llena,cup,4825
216,1701186129,7f8f5755484c97f78ee0e7df7fa48c43,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701186124208,4 extra columns added for this controller,Ellos leen ___ long letter,la,1,1,12,B,Ellos leen la long letter,el,la,long,letter,42791
249,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235931456,4 extra columns added for this controller,Pásame ___ red t-shirt,el,0,2,1,B,Pásame la red t-shirt,el,la,red,t-shirt,8321
255,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235949603,4 extra columns added for this controller,Miguel tiene ___ bike ___,la%2C blanca,1,2,23,D,Miguel tiene la bike blanca,el%2C blanco,la%2C blanca,blanco/blanca,bicycle,14339
261,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235961371,4 extra columns added for this controller,Seguimos ___ complicated recipe,la,1,2,25,B,Seguimos la complicated recipe,el,la,complicated,recipe,6825
267,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235968583,4 extra columns added for this controller,Tallamos ___ orange pumpkin,el,0,2,13,B,Tallamos la orange pumpkin,el,la,orange,pumpkin,4517
273,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235979395,4 extra columns added for this controller,Ella hizo ___ delicious cookie,el,0,2,21,B,Ella hizo la delicious cookie,el,la,delicious,cookie,4283
279,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235986594,4 extra columns added for this controller,Comí ___ purple grape,el,0,2,9,B,Comí la purple grape,el,la,rotten,grape,2371
285,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235993301,4 extra columns added for this controller,Yo compré ___ table,la,1,2,2,A,Yo compré la table,el,la,none,table,2236
291,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701235998475,4 extra columns added for this controller,Subimos ___ mountain ___,la%2C alta,1,2,7,D,Subimos la mountain alta,el%2C alto,la%2C alta,alto/a,mountain,2347
297,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236005022,4 extra columns added for this controller,Quiero ver ___ movie ___,la%2C buena,1,2,11,D,Quiero ver la movie buena,el%2C bueno,la%2C buena,bueno/buena,movie,3192
303,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236011176,4 extra columns added for this controller,Ella construyó ___ house,la,1,2,10,A,Ella construyó la house,el,la,none,house,3180
309,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236017104,4 extra columns added for this controller,Él vendió ___ guitar ___,el%2C usada,1,2,15,D,Él vendió la guitar usada,el%2C usado,el%2C usada,usado/usada,guitar,2865
315,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236025756,4 extra columns added for this controller,A ella le encanta ___ expensive bag,el,0,2,17,B,A ella le encanta la expensive bag,el,la,expensive,bag,3360
321,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236069014,4 extra columns added for this controller,Ella odia ___ sculpture,el,0,2,14,A,Ella odia la sculpture,el,la,none,sculpture,2198
327,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236077824,4 extra columns added for this controller,Él visitó ___ beach,la famosa,1,2,24,C,Él visitó la famosa beach,el famoso,la famosa,famoso/famosa,beach,6004
333,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236082852,4 extra columns added for this controller,Dame ___ cup,el,0,2,22,A,Dame la cup,el,la,none,cup,1919
339,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236089917,4 extra columns added for this controller,Ellos abrieron ___ window,la pequeña,1,2,4,C,Ellos abrieron la pequeña window,el pequeño,la pequeña,pequeño/a,window,4587
345,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236094506,4 extra columns added for this controller,Tú nadaste en ___ pool ___,el%2C profundo,0,2,31,D,Tú nadaste en la pool profunda,el%2C profundo,la%2C profunda,profundo/profunda,pool,3020
351,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236100132,4 extra columns added for this controller,Ella necesita ___ old key,la,1,2,5,B,Ella necesita la old key,el,la,old,key,2695
357,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236108840,4 extra columns added for this controller,Él cortó ___ strawberry ___,la%2C madura,1,2,27,D,Él cortó la strawberry madura,el%2C maduro,la%2C madura,maduro/madura,strawberry,4801
363,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236113441,4 extra columns added for this controller,Tú doblaste ___ blanket,la limpia,1,2,32,C,Tú doblaste la limpia blanket,el limpio,la limpia,limpio/limpia,blanket,2337
369,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236120889,4 extra columns added for this controller,Ellos leen ___ letter,la larga,1,2,12,C,Ellos leen la larga letter,el largo,la larga,largo/larga,letter,4789
375,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236128866,4 extra columns added for this controller,Ella regó ___ plant,la sana,1,2,28,C,Ella regó la sana plant,el sano,la sana,sano/sana,plant,2932
381,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236132871,4 extra columns added for this controller,Ella se metió en ___ bathtub,el,0,2,30,A,Ella se metió en la bathtub,el,la,none,bathtub,2031
387,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236138316,4 extra columns added for this controller,Él usó ___ computer,la nueva,1,2,16,C,Él usó la nueva computer,el nuevo,la nueva,nuevo/nueva,computer,2639
393,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236146674,4 extra columns added for this controller,Él tomó ___ chair ___,el%2C cómodo,0,2,19,D,Él tomó la chair cómoda,el%2C cómodo,la%2C cómoda,cómodo/cómoda,chair,6158
399,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236153784,4 extra columns added for this controller,Yo escogí ___ apple,la,1,2,26,A,Yo escogí la apple,el,la,none,apple,4045
405,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236162571,4 extra columns added for this controller,Él cerró ___ door ___,la%2C amarilla,1,2,3,D,Él cerró la door amarilla,el%2C amarillo,la%2C amarilla,amarillo/a,door,5812
411,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236166869,4 extra columns added for this controller,Ellos miraron ___ luminous,el,0,2,29,B,Ellos miraron la luminous star,el,la,luminous,star,2079
417,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236172144,4 extra columns added for this controller,Me caí en ___ sidewalk,el,0,2,18,A,Me caí en la sidewalk,el,la,none,sidewalk,3518
423,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236176532,4 extra columns added for this controller,Ella arregló ___ machine,el roto,0,2,8,C,Ella arregló la rota machine,el roto,la rota,roto/a,machine,2786
429,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236186162,4 extra columns added for this controller,A él le gusta ___ painting,el,0,2,6,A,A él le gusta la painting,el,la,none,painting,3415
435,1701236260,12ae168863a6ea35b65b0f8328b1c819,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701236191101,4 extra columns added for this controller,Yo di ___ answer,la correcta,1,2,20,C,Yo di la correcta answer,el correcto,la correcta,correcto/correcta,answer,2685
471,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,55,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275075476,4 extra columns added for this controller,Él usó ___ computer ___,la%2C nueva,1,3,16,D,Él usó la computer nueva,el%2C nuevo,la%2C nueva,nuevo/nueva,computer,6419
477,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275083117,4 extra columns added for this controller,Él vendió ___ guitar,la,1,3,15,A,Él vendió la guitar,el,la,none,guitar,2641
483,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,65,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275099540,4 extra columns added for this controller,Yo escogí ___ fresh apple,la,1,3,26,B,Yo escogí la fresh apple,el,la,fresh,apple,2294
489,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,49,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275112539,4 extra columns added for this controller,Ella construyó ___ pretty house,la,1,3,10,B,Ella construyó la pretty house,el,la,pretty,house,3158
495,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,48,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275118473,4 extra columns added for this controller,Comí ___ grape,la podrida,1,3,9,C,Comí la podrida grape,el podrido,la podrida,podrido/podrida,grape,2210
501,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,42,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275124391,4 extra columns added for this controller,Él cerró ___ door,la,1,3,3,A,Él cerró la door,el,la,none,door,1942
507,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,58,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275131091,4 extra columns added for this controller,Él tomó ___ chair,la,1,3,19,A,Él tomó la chair,el,la,none,chair,2342
513,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,62,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275136757,4 extra columns added for this controller,Miguel tiene ___ bike,la,1,3,23,A,Miguel tiene la bike,el,la,none,bicycle,2195
519,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,52,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275144941,4 extra columns added for this controller,Tallamos ___ pumpkin,la naranja,1,3,13,C,Tallamos la naranja pumpkin,el naranjo,la naranja,naranjo/a,pumpkin,5978
525,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,46,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275153525,4 extra columns added for this controller,Subimos ___ mountain,la,1,3,7,A,Subimos la mountain,el,la,none,mountain,1863
531,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,64,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275162908,4 extra columns added for this controller,Seguimos ___ recipe,la complicada,1,3,25,C,Seguimos la complicada recipe,el complicado,la complicada,complicado/complicada,recipe,5927
537,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,45,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275172758,4 extra columns added for this controller,A él le gusta ___ beautiful painting,el,0,3,6,B,A él le gusta la beautiful painting,el,la,beautiful,painting,6375
543,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,61,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275179377,4 extra columns added for this controller,Dame ___ full cup,el,0,3,22,B,Dame la full cup,el,la,full,cup,2427
549,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,44,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275188062,4 extra columns added for this controller,Ella necesita ___ key,la vieja,1,3,5,C,Ella necesita la vieja key,el viejo,la vieja,viejo/a,key,3411
555,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,68,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275199977,4 extra columns added for this controller,Ellos miraron ___ star,la luminosa,1,3,29,C,Ellos miraron la luminosa star,el luminoso,la luminosa,luminoso/luminosa,star,2437
561,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,66,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275207277,4 extra columns added for this controller,Él cortó ___ strawberry,la,1,3,27,A,Él cortó la strawberry,el,la,none,strawberry,1774
567,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,69,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275215229,4 extra columns added for this controller,Ella se metió en ___ empty bathtub,la,1,3,30,B,Ella se metió en la empty bathtub,el,la,empty,bathtub,2630
573,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,71,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275224693,4 extra columns added for this controller,Tú doblaste ___ blanket ___,el%2C limpio,0,3,32,D,Tú doblaste la blanket limpia,el%2C limpio,la%2C limpia,limpio/limpia,blanket,6927
579,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,60,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275232261,4 extra columns added for this controller,Ella hizo ___ cookie,la deliciosa,1,3,21,C,Ella hizo la deliciosa cookie,el delicioso,la deliciosa,delicioso/deliciosa,cookie,1912
585,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,70,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275239698,4 extra columns added for this controller,Tú nadaste en ___ pool,la,1,3,31,A,Tú nadaste en la pool,el,la,none,pool,2770
591,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,59,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275253830,4 extra columns added for this controller,Yo di ___ answer ___,el%2C correcto,0,3,20,D,Yo di la answer correcta,el%2C correcto,la%2C correcta ,correcto/correcta,answer,10561
597,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,67,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275272980,4 extra columns added for this controller,Ella regó ___ plant ___,la%2C sana,1,3,28,D,Ella regó la plant sana,el%2C sano,la%2C sana,sano/sana,plant,11961
603,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,43,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275282603,4 extra columns added for this controller,Ellos abrieron ___ window ___,la%2C pequeña,1,3,4,D,Ellos abrieron la window pequeña,el%2C pequeño,la%2C pequeña,pequeño/a,window,6328
609,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,50,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275292731,4 extra columns added for this controller,Quiero ver ___ movie,la,1,3,11,A,Quiero ver la movie,el,la,none,movie,2944
615,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,51,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275298414,4 extra columns added for this controller,Ellos leen ___ letter ___,el%2C largo,0,3,12,D,Ellos leen la letter larga,el%2C largo,la%2C larga,largo/large,letter,3912
621,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,63,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275317965,4 extra columns added for this controller,Él visitó ___ beach ___,la%2C famosa,1,3,24,D,Él visitó la beach famosa,el%2C famoso,la%2C famosa,famoso/famosa,beach,3293
627,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,56,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275331466,4 extra columns added for this controller,A ella le encanta ___ bag,la cara,1,3,17,C,A ella le encanta la cara bag,el caro,la cara,caro/cara,bag,5936
633,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,53,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275346966,4 extra columns added for this controller,Ella odia ___ ugly sculpture,el,0,3,14,B,Ella odia la ugly sculpture,el,la,ugly,sculpture,7912
639,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,47,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275352983,4 extra columns added for this controller,Ella arregló ___ machine ___,la%2C rota,1,3,8,D,Ella arregló la machine rota,el%2C roto,la%2C rota,roto/a,machine,3777
645,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,57,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275363807,4 extra columns added for this controller,Me caí en ___ icy sidewalk,el,0,3,18,B,Me caí en la icy sidewalk,el,la,icy,sidewalk,3310
651,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,40,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275374586,4 extra columns added for this controller,Pásame ___ t-shirt,la roja,1,3,1,C,Pásame la roja t-shirt,el rojo,la roja,rojo/a,t-shirt,2961
657,1701275495,0101c0e9e8539b00c814c9227c4d008c,PennController,41,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701275387301,4 extra columns added for this controller,Yo compré ___ cheap table,la,1,3,2,B,Yo compré la cheap table,el,la,cheap,table,8394
696,1701399149,046234a8b4f1d0f2656c160859b3c4ae,PennController,54,0,experimental-trial,NULL,Question,Controller,Question,See extra columns,1701398743026,4 extra columns added for this controller,Él vendió ___ used guitar,la,1,4,15,B,Él vendió la used guitar,el,la,used,guitar,5395
